Origem_do_Armazem	CNPJ_Transp	Razao_Social	UF	Cidade_Entrega	Faixa_inicial	Faixa_Final	Preco	Preco_KG	Veículo
Fábrica Cloroetil	59.911.388/0001-25	TRANSPORTADORA SAVO LTDA	SP	SAO BERNARDO DO CAMPO	10000	13500	2650,00	0,149333	TRUCK
Fábrica Cloroetil	59.911.388/0001-25	TRANSPORTADORA SAVO LTDA	SP	GUARULHOS	10000	13500	2650,00	0,149333	TRUCK
Fábrica Cloroetil	59.911.388/0001-25	TRANSPORTADORA SAVO LTDA	SP	JANDIRA	10000	13500	1980,00	0,146667	TRUCK
Fábrica Cloroetil	59.911.388/0001-25	TRANSPORTADORA SAVO LTDA	SP	TIETE	10000	13500	2650,00	0,149333	TRUCK
Fábrica Cloroetil	02.148.188/0001-45	BOESSIO TRANSPORTES LTDA	PR	CURITIBA	10000	13500	4200,00	0,311111	TRUCK
Fábrica Cloroetil	02.148.188/0001-45	BOESSIO TRANSPORTES LTDA	SC	SIDEROPOLIS	10000	13500	3950,00	0,292593	TRUCK
Fábrica Cloroetil	02.148.188/0001-45	BOESSIO TRANSPORTES LTDA	SC	CRICIUMA	10000	13500	7755,00	0,574444	TRUCK
Fábrica Cloroetil	02.148.188/0001-45	BOESSIO TRANSPORTES LTDA	SP	TIETE	10000	13500	3900,00	0,288889	TRUCK
Fábrica Cloroetil	02.148.188/0001-45	BOESSIO TRANSPORTES LTDA	SP	GUARULHOS	10000	13500	3084,00	0,228444	TRUCK
Fábrica Cloroetil	71.898.688/0001-17	TRANSPORTADORA H F CARGAS LT	MG	DIVINOPOLIS	10000	13500	6100,00	0,451852	TRUCK
Fábrica Cloroetil	71.898.688/0001-17	TRANSPORTADORA H F CARGAS LT	RJ	DUQUE DE CAXIAS	10000	13500	5850,00	0,433333	TRUCK
Fábrica Cloroetil	71.898.688/0001-17	TRANSPORTADORA H F CARGAS LT	SP	TIETE	10000	13500	2850,00	0,211111	TRUCK
Fábrica Cloroetil	71.898.688/0001-17	TRANSPORTADORA H F CARGAS LT	SP	SALTO	10000	13500	2000,00	0,148148	TRUCK
Fábrica Cloroetil	71.898.688/0001-17	TRANSPORTADORA H F CARGAS LT	SP	JANDIRA	10000	13500	3200,00	0,237037	TRUCK
Fábrica Cloroetil	71.898.688/0001-17	TRANSPORTADORA H F CARGAS LT	SP	SAO BERNARDO DO CAMPO	10000	13500	2850,00	0,211111	TRUCK
Fábrica Cloroetil	71.898.688/0001-17	TRANSPORTADORA H F CARGAS LT	SP	GUARULHOS	10000	13500	2850,00	0,211111	TRUCK
Fábrica Cloroetil	10.659.145/0001-52	CADAN TRANSPORTES EIRELI	GO	APARECIDA DE GOIANIA	10000	13500	8000,00	0,592593	TRUCK
Fábrica Cloroetil	10.659.145/0001-52	CADAN TRANSPORTES EIRELI	MG	DIVINOPOLIS	10000	13500	7300,00	0,540741	TRUCK
Fábrica Cloroetil	10.659.145/0001-52	CADAN TRANSPORTES EIRELI	PR	CAMPINA GRANDE DO SUL	10000	13500	4050,00	0,3	TRUCK
Fábrica Cloroetil	10.659.145/0001-52	CADAN TRANSPORTES EIRELI	SC	BALNEARIO RINCAO	10000	13500	11000,00	0,814815	TRUCK
Fábrica Cloroetil	10.659.145/0001-52	CADAN TRANSPORTES EIRELI	SC	JOINVILLE	10000	13500	9200,00	0,681481	TRUCK
Fábrica Cloroetil	10.659.145/0001-52	CADAN TRANSPORTES EIRELI	SP	GUARULHOS	10000	13500	3000,00	0,222222	TRUCK
Fábrica Cloroetil	10.659.145/0001-52	CADAN TRANSPORTES EIRELI	SP	MATAO	10000	13500	5500,00	0,407407	TRUCK
Fábrica Cloroetil	06.294.718/0001-14	JEGUEDE TRANSPORTES LTDA	SC	GASPAR	10000	13500	6400,00	0,474074	TRUCK
Fábrica Cloroetil	06.294.718/0001-14	JEGUEDE TRANSPORTES LTDA	SP	ARACARIGUAMA	10000	13500	2050,00	0,151852	TRUCK
Fábrica Cloroetil	06.294.718/0001-14	JEGUEDE TRANSPORTES LTDA	SP	SAO CARLOS	10000	13500	3180,00	0,235556	TRUCK
Fábrica Cloroetil	06.294.718/0001-14	JEGUEDE TRANSPORTES LTDA	SP	MATAO	10000	13500	4300,00	0,318519	TRUCK
Fábrica Cloroetil	06.294.718/0001-14	JEGUEDE TRANSPORTES LTDA	SP	SAO BERNARDO DO CAMPO	10000	13500	2853,73	0,17037	TRUCK
Fábrica Cloroetil	06.294.718/0001-14	JEGUEDE TRANSPORTES LTDA	SP	ITUPEVA	10000	13500	2490,00	0,184444	TRUCK
Fábrica Cloroetil	26.666.614/0004-43	COOPERATIVA DE TRANSP DE PROD LIQUIDOS COO	SC	CRICIUMA	10000	13500	7032,00	0,520889	TRUCK
Fábrica Cloroetil	26.666.614/0004-43	COOPERATIVA DE TRANSP DE PROD LIQUIDOS COO	SC	BALNEARIO RINCAO	10000	13500	7032,00	0,520889	TRUCK
Fábrica Cloroetil	26.666.614/0004-43	COOPERATIVA DE TRANSP DE PROD LIQUIDOS COO	SP	ITUPEVA	10000	13500	2000,00	0,148148	TRUCK
Fábrica Cloroetil	18.640.902/0001-58	QUIMLOG TRANSPORTES LTDA	SC	BALNEARIO RINCAO	10000	13500	10400,00	0,77037	TRUCK
Fábrica Cloroetil	18.640.902/0001-58	QUIMLOG TRANSPORTES LTDA	SP	SAO PAULO	10000	13500	3100,00	0,22963	TRUCK
Fábrica Cloroetil	18.640.902/0001-58	QUIMLOG TRANSPORTES LTDA	SP	SANTANA DE PARNAIBA	10000	13500	3100,00	0,22963	TRUCK
Fábrica Cloroetil	18.640.902/0001-58	QUIMLOG TRANSPORTES LTDA	SP	JUNDIAI	10000	13500	3100,00	0,22963	TRUCK
Fábrica Cloroetil	18.640.902/0001-58	QUIMLOG TRANSPORTES LTDA	SP	SAO BERNARDO DO CAMPO	10000	13500	3100,00	0,22963	TRUCK
Fábrica Cloroetil	18.640.902/0001-58	QUIMLOG TRANSPORTES LTDA	SP	ITUPEVA	10000	13500	3100,00	0,22963	TRUCK
Fábrica Cloroetil	18.640.902/0001-58	QUIMLOG TRANSPORTES LTDA	SP	GUARULHOS	10000	13500	3100,00	0,22963	TRUCK
Fábrica Cloroetil	14.383.968/0001-59	JELLY FISH SOLUCOES TERMICAS LTDA	SC	JOINVILLE	10000	13500	7161,40	0,530474	TRUCK
Fábrica Cloroetil	14.383.968/0001-59	JELLY FISH SOLUCOES TERMICAS LTDA	SP	SALTO	10000	13500	3448,53	0,255447	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	CURITIBA	5000,001	7000	1050,00	0,15	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	MARINGA	5000,001	7000	2030,00	0,29	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	LONDRINA	5000,001	7000	2590,00	0,37	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	CIANORTE	5000,001	7000	2170,00	0,31	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	ITAJAI	5000,001	7000	1400,00	0,2	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	CRICIUMA	5000,001	70000	1750,00	0,025	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	RS	PORTO ALEGRE	5000,001	70000	2093,00	0,0299	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	JOINVILLE	5000,001	7000	1400,00	0,2	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	CURITIBA	3000,001	5000	950,00	0,19	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	CASCAVEL	3000,001	5000	1750,00	0,35	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	LONDRINA	3000,001	5000	2250,00	0,45	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	CIANORTE	3000,001	5000	1700,00	0,34	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	ITAJAI	3000,001	5000	1250,00	0,25	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	CRICIUMA	3000,001	5000	1475,00	0,295	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	RS	PORTO ALEGRE	3000,001	5000	1650,00	0,33	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	JOINVILLE	3000,001	5000	1250,00	0,25	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	CASCAVEL	1000,001	3000	1185,00	0,395	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	MARINGA	1000,001	5000	1700,00	0,34	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	CRICIUMA	1000,001	3000	960,00	0,32	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	RS	PORTO ALEGRE	1000,001	3000	1170,00	0,39	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	CURITIBA	0	3000	720,00	0,24	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	CASCAVEL	0	1000	450,00	0,45	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	MARINGA	0	1000	370,00	0,37	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	LONDRINA	0	3000	1410,00	0,47	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	PR	CIANORTE	0	3000	1110,00	0,37	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	ITAJAI	0	3000	840,00	0,28	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	CRICIUMA	0	1000	350,00	0,35	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	RS	PORTO ALEGRE	0	1000	450,00	0,45	TRUCK
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	JOINVILLE	0	3000	900,00	0,3	TRUCK
